"formula","Incubation_Temp","A_priori_CUE"
"C22H40O12","45C","High"
"C26H40O9","15C","High"
"C26H40O9","15C","Low"
"C26H40O9","25C","High"
"C26H40O9","25C","Low"
"C26H40O9","45C","High"
"C26H40O9","45C","Low"
"C27H44O8","15C","High"
"C27H44O8","15C","Low"
"C27H44O8","25C","High"
"C27H44O8","25C","Low"
"C27H44O8","45C","High"
"C27H44O8","45C","Low"
"C23H31O11N1","15C","Low"
"C23H31O11N1","15C","High"
"C23H31O11N1","25C","High"
"C23H31O11N1","25C","Low"
"C23H31O11N1","45C","High"
"C23H31O11N1","45C","Low"
"C23H30O12","15C","Low"
"C24H34O11","15C","High"
"C24H34O11","15C","Low"
"C24H34O11","25C","Low"
"C24H34O11","25C","High"
"C24H34O11","45C","High"
"C24H34O11","45C","Low"
"C25H38O10","15C","High"
"C25H38O10","15C","Low"
"C25H38O10","25C","High"
"C25H38O10","25C","Low"
"C25H38O10","45C","High"
"C25H38O10","45C","Low"
"C26H42O9","15C","High"
"C26H42O9","15C","Low"
"C26H42O9","25C","High"
"C26H42O9","25C","Low"
"C26H42O9","45C","High"
"C26H42O9","45C","Low"
"C27H46O8","15C","Low"
"C27H46O8","25C","Low"
"C27H46O8","45C","High"
"C27H46O8","45C","Low"
"C24H36O11","15C","High"
"C24H36O11","15C","Low"
"C24H36O11","25C","High"
"C24H36O11","25C","Low"
"C24H36O11","45C","High"
"C24H36O11","45C","Low"
"C25H40O10","15C","High"
"C25H40O10","15C","Low"
"C25H40O10","25C","High"
"C25H40O10","25C","Low"
"C25H40O10","45C","High"
"C25H40O10","45C","Low"
"C26H44O9","15C","High"
"C26H44O9","15C","Low"
"C26H44O9","25C","High"
"C26H44O9","25C","Low"
"C26H44O9","45C","High"
"C26H44O9","45C","Low"
"C27H48O8","15C","High"
"C27H48O8","45C","High"
"C23H34O12","15C","Low"
"C23H34O12","25C","High"
"C23H34O12","25C","Low"
"C23H34O12","45C","High"
"C23H34O12","45C","Low"
"C24H38O11","15C","High"
"C24H38O11","15C","Low"
"C24H38O11","25C","High"
"C24H38O11","25C","Low"
"C24H38O11","45C","High"
"C24H38O11","45C","Low"
"C25H42O10","15C","High"
"C25H42O10","15C","Low"
"C25H42O10","25C","High"
"C25H42O10","25C","Low"
"C25H42O10","45C","High"
"C25H42O10","45C","Low"
"C26H46O9","15C","High"
"C26H46O9","15C","Low"
"C26H46O9","25C","High"
"C26H46O9","25C","Low"
"C26H46O9","45C","High"
"C26H46O9","45C","Low"
"C24H24O12","15C","Low"
"C25H28O11","15C","High"
"C25H28O11","15C","Low"
"C25H28O11","25C","Low"
"C26H32O10","15C","Low"
"C26H32O10","45C","High"
"C23H36O12","15C","High"
"C23H36O12","15C","Low"
"C23H36O12","25C","High"
"C23H36O12","25C","Low"
"C23H36O12","45C","High"
"C23H36O12","45C","Low"
"C24H40O11","15C","High"
"C24H40O11","15C","Low"
"C24H40O11","25C","High"
"C24H40O11","25C","Low"
"C24H40O11","45C","High"
"C24H40O11","45C","Low"
"C25H44O10","15C","High"
"C25H44O10","15C","Low"
"C25H44O10","25C","High"
"C25H44O10","25C","Low"
"C25H44O10","45C","High"
"C25H44O10","45C","Low"
"C24H26O12","15C","Low"
"C24H26O12","25C","High"
"C25H30O11","15C","High"
"C25H30O11","15C","Low"
"C25H30O11","25C","High"
"C25H30O11","25C","Low"
"C25H30O11","45C","High"
"C25H30O11","45C","Low"
"C26H34O10","15C","High"
"C26H34O10","15C","Low"
"C26H34O10","25C","High"
"C26H34O10","25C","Low"
"C26H34O10","45C","High"
"C26H34O10","45C","Low"
"C23H38O12","15C","High"
"C23H38O12","15C","Low"
"C23H38O12","25C","High"
"C23H38O12","25C","Low"
"C23H38O12","45C","High"
"C23H38O12","45C","Low"
"C24H42O11","15C","High"
"C24H42O11","15C","Low"
"C24H42O11","25C","High"
"C24H42O11","25C","Low"
"C24H42O11","45C","High"
"C24H42O11","45C","Low"
"C25H46O10","15C","High"
"C25H46O10","15C","Low"
"C25H46O10","25C","High"
"C25H46O10","25C","Low"
"C25H46O10","45C","High"
"C25H46O10","45C","Low"
"C24H29O11N1","15C","High"
"C24H29O11N1","15C","Low"
"C24H29O11N1","25C","Low"
"C24H29O11N1","45C","High"
"C24H29O11N1","45C","Low"
"C23H24O13","15C","Low"
"C24H28O12","15C","Low"
"C24H28O12","15C","High"
"C24H28O12","25C","High"
"C24H28O12","25C","Low"
"C24H28O12","45C","Low"
"C25H32O11","15C","High"
"C25H32O11","15C","Low"
"C25H32O11","25C","High"
"C25H32O11","25C","Low"
"C25H32O11","45C","High"
"C25H32O11","45C","Low"
"C22H36O13","15C","High"
"C22H36O13","15C","Low"
"C22H36O13","25C","High"
"C22H36O13","25C","Low"
"C22H36O13","45C","High"
"C22H36O13","45C","Low"
"C26H36O10","15C","Low"
"C26H36O10","25C","Low"
"C23H40O12","15C","Low"
"C23H40O12","15C","High"
"C23H40O12","25C","High"
"C23H40O12","25C","Low"
"C23H40O12","45C","Low"
"C23H40O12","45C","High"
"C27H40O9","15C","Low"
"C27H40O9","25C","High"
"C27H40O9","25C","Low"
"C27H40O9","45C","High"
"C27H40O9","45C","Low"
"C24H44O11","15C","High"
"C24H44O11","15C","Low"
"C24H44O11","25C","Low"
"C24H44O11","45C","High"
"C24H44O11","45C","Low"
"C28H44O8","15C","Low"
"C28H44O8","45C","High"
"C24H30O12","15C","Low"
"C24H30O12","15C","High"
"C24H30O12","25C","Low"
"C24H30O12","25C","High"
"C24H30O12","45C","High"
"C24H30O12","45C","Low"
"C25H34O11","15C","High"
"C25H34O11","15C","Low"
"C25H34O11","25C","High"
"C25H34O11","25C","Low"
"C25H34O11","45C","High"
"C25H34O11","45C","Low"
"C26H38O10","15C","High"
"C26H38O10","15C","Low"
"C26H38O10","25C","High"
"C26H38O10","25C","Low"
"C26H38O10","45C","High"
"C26H38O10","45C","Low"
"C27H42O9","15C","High"
"C27H42O9","15C","Low"
"C27H42O9","25C","High"
"C27H42O9","25C","Low"
"C27H42O9","45C","High"
"C27H42O9","45C","Low"
"C28H46O8","45C","Low"
"C24H32O12","15C","High"
"C24H32O12","15C","Low"
"C24H32O12","25C","High"
"C24H32O12","25C","Low"
"C24H32O12","45C","High"
"C24H32O12","45C","Low"
"C25H36O11","15C","High"
"C25H36O11","15C","Low"
"C25H36O11","25C","High"
"C25H36O11","25C","Low"
"C25H36O11","45C","High"
"C25H36O11","45C","Low"
"C26H40O10","15C","High"
"C26H40O10","15C","Low"
"C26H40O10","25C","High"
"C26H40O10","25C","Low"
"C26H40O10","45C","High"
"C26H40O10","45C","Low"
"C27H44O9","15C","High"
"C27H44O9","15C","Low"
"C27H44O9","25C","High"
"C27H44O9","25C","Low"
"C27H44O9","45C","High"
"C27H44O9","45C","Low"
"C24H34O12","15C","High"
"C24H34O12","15C","Low"
"C24H34O12","25C","Low"
"C24H34O12","25C","High"
"C24H34O12","45C","High"
"C24H34O12","45C","Low"
"C25H38O11","15C","High"
"C25H38O11","15C","Low"
"C25H38O11","25C","High"
"C25H38O11","25C","Low"
"C25H38O11","45C","High"
"C25H38O11","45C","Low"
"C26H42O10","15C","High"
"C26H42O10","15C","Low"
"C26H42O10","25C","High"
"C26H42O10","25C","Low"
"C26H42O10","45C","High"
"C26H42O10","45C","Low"
"C27H46O9","15C","High"
"C27H46O9","15C","Low"
"C27H46O9","25C","High"
"C27H46O9","25C","Low"
"C27H46O9","45C","High"
"C27H46O9","45C","Low"
"C26H28O11","45C","Low"
"C24H36O12","15C","High"
"C24H36O12","15C","Low"
"C24H36O12","25C","High"
"C24H36O12","25C","Low"
"C24H36O12","45C","High"
"C24H36O12","45C","Low"
"C25H40O11","15C","High"
"C25H40O11","15C","Low"
"C25H40O11","25C","High"
"C25H40O11","25C","Low"
"C25H40O11","45C","High"
"C25H40O11","45C","Low"
"C26H44O10","15C","High"
"C26H44O10","15C","Low"
"C26H44O10","25C","High"
"C26H44O10","25C","Low"
"C26H44O10","45C","High"
"C26H44O10","45C","Low"
"C27H48O9","15C","High"
"C27H48O9","15C","Low"
"C27H48O9","25C","Low"
"C27H48O9","45C","Low"
"C27H48O9","45C","High"
"C25H26O12","15C","Low"
"C26H30O11","15C","Low"
"C26H30O11","25C","Low"
"C26H30O11","45C","Low"
"C24H38O12","15C","High"
"C24H38O12","15C","Low"
"C24H38O12","25C","High"
"C24H38O12","25C","Low"
"C24H38O12","45C","High"
"C24H38O12","45C","Low"
"C25H42O11","15C","High"
"C25H42O11","15C","Low"
"C25H42O11","25C","High"
"C25H42O11","25C","Low"
"C25H42O11","45C","High"
"C25H42O11","45C","Low"
"C26H46O10","15C","High"
"C26H46O10","15C","Low"
"C26H46O10","25C","High"
"C26H46O10","25C","Low"
"C26H46O10","45C","High"
"C26H46O10","45C","Low"
"C24H24O13","15C","Low"
"C25H28O12","15C","High"
"C25H28O12","15C","Low"
"C25H28O12","25C","High"
"C25H28O12","25C","Low"
"C25H28O12","45C","Low"
"C26H32O11","15C","High"
"C26H32O11","15C","Low"
"C26H32O11","25C","High"
"C26H32O11","25C","Low"
"C26H32O11","45C","High"
"C26H32O11","45C","Low"
"C24H40O12","15C","High"
"C24H40O12","15C","Low"
"C24H40O12","25C","High"
"C24H40O12","25C","Low"
"C24H40O12","45C","High"
"C24H40O12","45C","Low"
"C25H44O11","15C","High"
"C25H44O11","15C","Low"
"C25H44O11","25C","High"
"C25H44O11","25C","Low"
"C25H44O11","45C","High"
"C25H44O11","45C","Low"
"C26H48O10","45C","Low"
"C26H48O10","45C","High"
"C24H27O12N1","15C","Low"
"C24H27O12N1","25C","Low"
"C24H27O12N1","45C","High"
"C24H27O12N1","45C","Low"
"C24H26O13","15C","Low"
"C25H30O12","15C","High"
"C25H30O12","15C","Low"
"C25H30O12","25C","High"
"C25H30O12","25C","Low"
"C25H30O12","45C","High"
"C25H30O12","45C","Low"
"C26H34O11","15C","High"
"C26H34O11","15C","Low"
"C26H34O11","25C","High"
"C26H34O11","25C","Low"
"C26H34O11","45C","High"
"C26H34O11","45C","Low"
"C24H42O12","15C","High"
"C24H42O12","15C","Low"
"C24H42O12","25C","High"
"C24H42O12","25C","Low"
"C24H42O12","45C","High"
"C24H42O12","45C","Low"
"C28H42O9","15C","Low"
"C28H42O9","25C","Low"
"C28H42O9","45C","Low"
"C28H42O9","45C","High"
"C25H46O11","15C","High"
"C25H46O11","15C","Low"
"C25H46O11","25C","High"
"C25H46O11","25C","Low"
"C25H46O11","45C","High"
"C25H46O11","45C","Low"
"C25H32O12","15C","High"
"C25H32O12","15C","Low"
"C25H32O12","25C","High"
"C25H32O12","25C","Low"
"C25H32O12","45C","High"
"C25H32O12","45C","Low"
"C26H36O11","15C","High"
"C26H36O11","15C","Low"
"C26H36O11","25C","High"
"C26H36O11","25C","Low"
"C26H36O11","45C","High"
"C26H36O11","45C","Low"
"C27H40O10","15C","High"
"C27H40O10","15C","Low"
"C27H40O10","25C","High"
"C27H40O10","25C","Low"
"C27H40O10","45C","High"
"C27H40O10","45C","Low"
"C28H44O9","15C","High"
"C28H44O9","15C","Low"
"C28H44O9","25C","High"
"C28H44O9","25C","Low"
"C28H44O9","45C","High"
"C28H44O9","45C","Low"
"C24H30O13","15C","Low"
"C24H30O13","25C","Low"
"C24H30O13","45C","High"
"C24H30O13","45C","Low"
"C25H34O12","15C","High"
"C25H34O12","15C","Low"
"C25H34O12","25C","High"
"C25H34O12","25C","Low"
"C25H34O12","45C","High"
"C25H34O12","45C","Low"
"C26H38O11","15C","High"
"C26H38O11","15C","Low"
"C26H38O11","25C","High"
"C26H38O11","25C","Low"
"C26H38O11","45C","High"
"C26H38O11","45C","Low"
"C27H42O10","15C","High"
"C27H42O10","15C","Low"
"C27H42O10","25C","High"
"C27H42O10","25C","Low"
"C27H42O10","45C","High"
"C27H42O10","45C","Low"
"C28H46O9","15C","High"
"C28H46O9","15C","Low"
"C28H46O9","25C","High"
"C28H46O9","25C","Low"
"C28H46O9","45C","High"
"C28H46O9","45C","Low"
"C25H36O12","15C","High"
"C25H36O12","15C","Low"
"C25H36O12","25C","High"
"C25H36O12","25C","Low"
"C25H36O12","45C","High"
"C25H36O12","45C","Low"
"C26H40O11","15C","High"
"C26H40O11","15C","Low"
"C26H40O11","25C","High"
"C26H40O11","25C","Low"
"C26H40O11","45C","High"
"C26H40O11","45C","Low"
"C27H44O10","15C","High"
"C27H44O10","15C","Low"
"C27H44O10","25C","High"
"C27H44O10","25C","Low"
"C27H44O10","45C","High"
"C27H44O10","45C","Low"
"C28H48O9","15C","Low"
"C28H48O9","15C","High"
"C28H48O9","25C","High"
"C28H48O9","25C","Low"
"C28H48O9","45C","High"
"C28H48O9","45C","Low"
"C27H30O11","15C","High"
"C27H30O11","25C","High"
"C27H30O11","45C","High"
"C27H30O11","45C","Low"
"C25H38O12","15C","High"
"C25H38O12","15C","Low"
"C25H38O12","25C","High"
"C25H38O12","25C","Low"
"C25H38O12","45C","High"
"C25H38O12","45C","Low"
"C26H42O11","15C","High"
"C26H42O11","15C","Low"
"C26H42O11","25C","High"
"C26H42O11","25C","Low"
"C26H42O11","45C","High"
"C26H42O11","45C","Low"
"C27H46O10","15C","High"
"C27H46O10","15C","Low"
"C27H46O10","25C","High"
"C27H46O10","25C","Low"
"C27H46O10","45C","High"
"C27H46O10","45C","Low"
"C26H28O12","15C","Low"
"C26H28O12","15C","High"
"C27H32O11","45C","Low"
"C24H36O13","15C","Low"
"C24H36O13","15C","High"
"C24H36O13","25C","High"
"C24H36O13","25C","Low"
"C24H36O13","45C","High"
"C24H36O13","45C","Low"
"C25H40O12","15C","High"
"C25H40O12","15C","Low"
"C25H40O12","25C","High"
"C25H40O12","25C","Low"
"C25H40O12","45C","High"
"C25H40O12","45C","Low"
"C26H44O11","15C","High"
"C26H44O11","15C","Low"
"C26H44O11","25C","High"
"C26H44O11","25C","Low"
"C26H44O11","45C","High"
"C26H44O11","45C","Low"
"C27H48O10","15C","High"
"C27H48O10","15C","Low"
"C27H48O10","25C","High"
"C27H48O10","25C","Low"
"C27H48O10","45C","High"
"C27H48O10","45C","Low"
"C25H26O13","15C","Low"
"C25H26O13","25C","Low"
"C26H30O12","15C","High"
"C26H30O12","15C","Low"
"C26H30O12","25C","High"
"C26H30O12","25C","Low"
"C26H30O12","45C","Low"
"C25H42O12","15C","High"
"C25H42O12","15C","Low"
"C25H42O12","25C","High"
"C25H42O12","25C","Low"
"C25H42O12","45C","High"
"C25H42O12","45C","Low"
"C26H46O11","15C","High"
"C26H46O11","15C","Low"
"C26H46O11","25C","High"
"C26H46O11","25C","Low"
"C26H46O11","45C","High"
"C26H46O11","45C","Low"
"C25H28O13","15C","Low"
"C25H28O13","15C","High"
"C25H28O13","25C","Low"
"C26H32O12","15C","High"
"C26H32O12","15C","Low"
"C26H32O12","25C","High"
"C26H32O12","25C","Low"
"C26H32O12","45C","High"
"C26H32O12","45C","Low"
"C25H44O12","15C","High"
"C25H44O12","15C","Low"
"C25H44O12","25C","High"
"C25H44O12","25C","Low"
"C25H44O12","45C","High"
"C25H44O12","45C","Low"
"C29H44O9","15C","High"
"C29H44O9","15C","Low"
"C29H44O9","25C","Low"
"C29H44O9","25C","High"
"C29H44O9","45C","High"
"C29H44O9","45C","Low"
"C26H48O11","15C","Low"
"C26H48O11","15C","High"
"C25H30O13","15C","Low"
"C25H30O13","15C","High"
"C25H30O13","25C","Low"
"C26H34O12","15C","High"
"C26H34O12","15C","Low"
"C26H34O12","25C","High"
"C26H34O12","25C","Low"
"C26H34O12","45C","High"
"C26H34O12","45C","Low"
"C27H38O11","15C","Low"
"C27H38O11","15C","High"
"C27H38O11","25C","High"
"C27H38O11","25C","Low"
"C27H38O11","45C","High"
"C27H38O11","45C","Low"
"C28H42O10","15C","High"
"C28H42O10","15C","Low"
"C28H42O10","25C","High"
"C28H42O10","25C","Low"
"C28H42O10","45C","High"
"C28H42O10","45C","Low"
"C29H46O9","15C","Low"
"C29H46O9","15C","High"
"C29H46O9","25C","High"
"C29H46O9","25C","Low"
"C29H46O9","45C","High"
"C29H46O9","45C","Low"
"C25H32O13","15C","Low"
"C25H32O13","15C","High"
"C25H32O13","25C","High"
"C25H32O13","25C","Low"
"C25H32O13","45C","High"
"C25H32O13","45C","Low"
"C26H36O12","15C","High"
"C26H36O12","15C","Low"
"C26H36O12","25C","High"
"C26H36O12","25C","Low"
"C26H36O12","45C","High"
"C26H36O12","45C","Low"
"C27H40O11","15C","High"
"C27H40O11","15C","Low"
"C27H40O11","25C","High"
"C27H40O11","25C","Low"
"C27H40O11","45C","High"
"C27H40O11","45C","Low"
"C28H44O10","15C","High"
"C28H44O10","15C","Low"
"C28H44O10","25C","High"
"C28H44O10","25C","Low"
"C28H44O10","45C","High"
"C28H44O10","45C","Low"
"C29H48O9","15C","High"
"C29H48O9","15C","Low"
"C29H48O9","25C","High"
"C29H48O9","25C","Low"
"C29H48O9","45C","High"
"C29H48O9","45C","Low"
"C25H34O13","15C","High"
"C25H34O13","15C","Low"
"C25H34O13","25C","Low"
"C25H34O13","45C","High"
"C25H34O13","45C","Low"
"C26H38O12","15C","High"
"C26H38O12","15C","Low"
"C26H38O12","25C","High"
"C26H38O12","25C","Low"
"C26H38O12","45C","High"
"C26H38O12","45C","Low"
"C27H42O11","15C","High"
"C27H42O11","15C","Low"
"C27H42O11","25C","High"
"C27H42O11","25C","Low"
"C27H42O11","45C","High"
"C27H42O11","45C","Low"
"C28H46O10","15C","High"
"C28H46O10","15C","Low"
"C28H46O10","25C","High"
"C28H46O10","25C","Low"
"C28H46O10","45C","High"
"C28H46O10","45C","Low"
"C29H50O9","15C","High"
"C29H50O9","15C","Low"
"C29H50O9","25C","Low"
"C29H50O9","45C","High"
"C29H50O9","45C","Low"
"C25H36O13","15C","High"
"C25H36O13","15C","Low"
"C25H36O13","25C","Low"
"C25H36O13","25C","High"
"C25H36O13","45C","High"
"C26H40O12","15C","High"
"C26H40O12","15C","Low"
"C26H40O12","25C","High"
"C26H40O12","25C","Low"
"C26H40O12","45C","High"
"C26H40O12","45C","Low"
"C27H44O11","15C","High"
"C27H44O11","15C","Low"
"C27H44O11","25C","High"
"C27H44O11","25C","Low"
"C27H44O11","45C","High"
"C27H44O11","45C","Low"
"C28H48O10","15C","High"
"C28H48O10","15C","Low"
"C28H48O10","25C","High"
"C28H48O10","25C","Low"
"C28H48O10","45C","High"
"C28H48O10","45C","Low"
"C29H52O9","45C","High"
"C26H26O13","15C","Low"
"C26H26O13","25C","High"
"C25H38O13","15C","High"
"C25H38O13","15C","Low"
"C25H38O13","25C","High"
"C25H38O13","25C","Low"
"C25H38O13","45C","Low"
"C25H38O13","45C","High"
"C26H42O12","15C","High"
"C26H42O12","15C","Low"
"C26H42O12","25C","High"
"C26H42O12","25C","Low"
"C26H42O12","45C","High"
"C26H42O12","45C","Low"
"C27H46O11","15C","High"
"C27H46O11","15C","Low"
"C27H46O11","25C","High"
"C27H46O11","25C","Low"
"C27H46O11","45C","High"
"C27H46O11","45C","Low"
"C26H28O13","15C","Low"
"C26H28O13","15C","High"
"C26H28O13","25C","Low"
"C27H32O12","15C","High"
"C27H32O12","15C","Low"
"C27H32O12","25C","Low"
"C25H40O13","15C","High"
"C25H40O13","15C","Low"
"C25H40O13","25C","High"
"C25H40O13","25C","Low"
"C25H40O13","45C","High"
"C25H40O13","45C","Low"
"C26H44O12","15C","High"
"C26H44O12","15C","Low"
"C26H44O12","25C","High"
"C26H44O12","25C","Low"
"C26H44O12","45C","High"
"C26H44O12","45C","Low"
"C27H48O11","15C","High"
"C27H48O11","15C","Low"
"C27H48O11","25C","High"
"C27H48O11","25C","Low"
"C27H48O11","45C","High"
"C27H48O11","45C","Low"
"C25H26O14","15C","Low"
"C25H26O14","25C","Low"
"C26H30O13","15C","Low"
"C26H30O13","25C","Low"
"C26H30O13","25C","High"
"C25H42O13","15C","High"
"C25H42O13","15C","Low"
"C25H42O13","25C","High"
"C25H42O13","25C","Low"
"C25H42O13","45C","High"
"C25H42O13","45C","Low"
"C26H46O12","15C","High"
"C26H46O12","15C","Low"
"C26H46O12","25C","High"
"C26H46O12","25C","Low"
"C26H46O12","45C","High"
"C26H46O12","45C","Low"
"C30H46O9","15C","Low"
"C30H46O9","25C","Low"
"C30H46O9","25C","High"
"C25H28O14","15C","Low"
"C25H28O14","25C","Low"
"C26H32O13","15C","High"
"C26H32O13","15C","Low"
"C26H32O13","25C","High"
"C26H32O13","25C","Low"
"C27H36O12","15C","High"
"C27H36O12","15C","Low"
"C27H36O12","25C","High"
"C27H36O12","25C","Low"
"C27H36O12","45C","High"
"C27H36O12","45C","Low"
"C25H44O13","15C","High"
"C25H44O13","15C","Low"
"C25H44O13","25C","High"
"C25H44O13","25C","Low"
"C25H44O13","45C","High"
"C25H44O13","45C","Low"
"C29H44O10","15C","Low"
"C29H44O10","15C","High"
"C29H44O10","25C","High"
"C29H44O10","25C","Low"
"C29H44O10","45C","High"
"C29H44O10","45C","Low"
"C30H48O9","15C","High"
"C30H48O9","15C","Low"
"C30H48O9","25C","Low"
"C30H48O9","25C","High"
"C30H48O9","45C","High"
"C30H48O9","45C","Low"
"C25H30O14","15C","Low"
"C26H34O13","15C","High"
"C26H34O13","15C","Low"
"C26H34O13","25C","Low"
"C26H34O13","25C","High"
"C26H34O13","45C","High"
"C26H34O13","45C","Low"
"C27H38O12","15C","Low"
"C27H38O12","15C","High"
"C27H38O12","25C","Low"
"C27H38O12","25C","High"
"C27H38O12","45C","High"
"C27H38O12","45C","Low"
"C28H42O11","15C","High"
"C28H42O11","15C","Low"
"C28H42O11","25C","High"
"C28H42O11","25C","Low"
"C28H42O11","45C","High"
"C28H42O11","45C","Low"
"C29H46O10","15C","High"
"C29H46O10","15C","Low"
"C29H46O10","25C","High"
"C29H46O10","25C","Low"
"C29H46O10","45C","High"
"C29H46O10","45C","Low"
"C29H32O11","15C","Low"
"C29H32O11","25C","High"
"C29H32O11","25C","Low"
"C29H32O11","45C","High"
"C29H32O11","45C","Low"
"C26H36O13","15C","Low"
"C26H36O13","15C","High"
"C26H36O13","25C","High"
"C26H36O13","25C","Low"
"C26H36O13","45C","High"
"C26H36O13","45C","Low"
"C27H40O12","15C","High"
"C27H40O12","15C","Low"
"C27H40O12","25C","High"
"C27H40O12","25C","Low"
"C27H40O12","45C","High"
"C27H40O12","45C","Low"
"C28H44O11","15C","High"
"C28H44O11","15C","Low"
"C28H44O11","25C","High"
"C28H44O11","25C","Low"
"C28H44O11","45C","High"
"C28H44O11","45C","Low"
"C29H48O10","15C","High"
"C29H48O10","15C","Low"
"C29H48O10","25C","High"
"C29H48O10","25C","Low"
"C29H48O10","45C","High"
"C29H48O10","45C","Low"
"C26H38O13","15C","High"
"C26H38O13","15C","Low"
"C26H38O13","25C","Low"
"C26H38O13","25C","High"
"C26H38O13","45C","Low"
"C26H38O13","45C","High"
"C27H42O12","15C","High"
"C27H42O12","15C","Low"
"C27H42O12","25C","High"
"C27H42O12","25C","Low"
"C27H42O12","45C","High"
"C27H42O12","45C","Low"
"C28H46O11","15C","High"
"C28H46O11","15C","Low"
"C28H46O11","25C","High"
"C28H46O11","25C","Low"
"C28H46O11","45C","High"
"C28H46O11","45C","Low"
"C29H50O10","15C","High"
"C29H50O10","15C","Low"
"C29H50O10","25C","High"
"C29H50O10","25C","Low"
"C29H50O10","45C","High"
"C29H50O10","45C","Low"
"C28H32O12","25C","High"
"C28H32O12","45C","Low"
"C26H40O13","45C","Low"
"C26H40O13","45C","High"
"C27H44O12","15C","High"
"C27H44O12","15C","Low"
"C27H44O12","25C","High"
"C27H44O12","25C","Low"
"C27H44O12","45C","High"
"C27H44O12","45C","Low"
"C28H48O11","15C","High"
"C28H48O11","15C","Low"
"C28H48O11","25C","High"
"C28H48O11","25C","Low"
"C28H48O11","45C","High"
"C28H48O11","45C","Low"
"C27H30O13","15C","Low"
"C28H34O12","15C","High"
"C26H42O13","15C","High"
"C26H42O13","15C","Low"
"C26H42O13","25C","High"
"C26H42O13","25C","Low"
"C26H42O13","45C","High"
"C26H42O13","45C","Low"
"C27H46O12","15C","High"
"C27H46O12","15C","Low"
"C27H46O12","25C","High"
"C27H46O12","25C","Low"
"C27H46O12","45C","High"
"C27H46O12","45C","Low"
"C26H28O14","15C","Low"
"C26H28O14","25C","Low"
"C27H32O13","15C","Low"
"C27H32O13","15C","High"
"C28H36O12","15C","High"
"C28H36O12","15C","Low"
"C28H36O12","25C","High"
"C28H36O12","25C","Low"
"C28H36O12","45C","High"
"C28H36O12","45C","Low"
"C26H44O13","15C","High"
"C26H44O13","15C","Low"
"C26H44O13","25C","High"
"C26H44O13","25C","Low"
"C26H44O13","45C","High"
"C26H44O13","45C","Low"
"C27H48O12","15C","Low"
"C27H48O12","25C","Low"
"C27H48O12","45C","High"
"C26H30O14","15C","Low"
"C26H30O14","15C","High"
"C26H30O14","25C","Low"
"C27H34O13","15C","High"
"C27H34O13","15C","Low"
"C27H34O13","25C","High"
"C27H34O13","25C","Low"
"C29H42O11","15C","High"
"C29H42O11","15C","Low"
"C29H42O11","25C","High"
"C29H42O11","25C","Low"
"C29H42O11","45C","High"
"C29H42O11","45C","Low"
"C30H46O10","15C","High"
"C30H46O10","15C","Low"
"C30H46O10","25C","High"
"C30H46O10","25C","Low"
"C30H46O10","45C","High"
"C30H46O10","45C","Low"
"C26H32O14","15C","Low"
"C26H32O14","15C","High"
"C26H32O14","25C","Low"
"C27H36O13","15C","Low"
"C27H36O13","25C","Low"
"C28H40O12","15C","Low"
"C28H40O12","25C","Low"
"C29H44O11","15C","High"
"C29H44O11","15C","Low"
"C29H44O11","25C","High"
"C29H44O11","25C","Low"
"C29H44O11","45C","High"
"C29H44O11","45C","Low"
"C30H48O10","15C","High"
"C30H48O10","15C","Low"
"C30H48O10","25C","High"
"C30H48O10","25C","Low"
"C30H48O10","45C","High"
"C30H48O10","45C","Low"
"C27H38O13","15C","Low"
"C27H38O13","45C","High"
"C27H38O13","45C","Low"
"C28H42O12","15C","High"
"C28H42O12","15C","Low"
"C28H42O12","25C","High"
"C28H42O12","25C","Low"
"C28H42O12","45C","High"
"C28H42O12","45C","Low"
"C29H46O11","15C","High"
"C29H46O11","15C","Low"
"C29H46O11","25C","High"
"C29H46O11","25C","Low"
"C29H46O11","45C","High"
"C29H46O11","45C","Low"
"C30H50O10","15C","Low"
"C30H50O10","25C","Low"
"C30H50O10","25C","High"
"C30H50O10","45C","High"
"C29H32O12","15C","Low"
"C26H36O14","15C","High"
"C27H40O13","15C","Low"
"C27H40O13","15C","High"
"C27H40O13","25C","Low"
"C27H40O13","45C","Low"
"C28H44O12","15C","High"
"C28H44O12","15C","Low"
"C28H44O12","25C","High"
"C28H44O12","25C","Low"
"C28H44O12","45C","High"
"C28H44O12","45C","Low"
"C29H48O11","15C","High"
"C29H48O11","15C","Low"
"C29H48O11","25C","High"
"C29H48O11","25C","Low"
"C29H48O11","45C","High"
"C29H48O11","45C","Low"
"C29H34O12","15C","Low"
"C29H34O12","15C","High"
"C29H34O12","25C","High"
"C29H34O12","25C","Low"
"C29H34O12","45C","High"
"C29H34O12","45C","Low"
"C30H38O11","45C","Low"
"C27H42O13","15C","High"
"C27H42O13","15C","Low"
"C27H42O13","25C","High"
"C27H42O13","25C","Low"
"C27H42O13","45C","High"
"C27H42O13","45C","Low"
"C28H46O12","15C","High"
"C28H46O12","15C","Low"
"C28H46O12","25C","High"
"C28H46O12","25C","Low"
"C28H46O12","45C","High"
"C28H46O12","45C","Low"
"C29H50O11","15C","High"
"C29H50O11","15C","Low"
"C29H50O11","25C","Low"
"C29H50O11","25C","High"
"C29H50O11","45C","Low"
"C29H50O11","45C","High"
"C29H36O12","25C","High"
